Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly BioProject Lineage Accession	Assembly BioSample Accession
GCF_003254395.2	Apis mellifera		DH4				NCBI Annotation Release 104	225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA533106	SAMN09259743
GCF_003254395.2	Apis mellifera		DH4				NCBI Annotation Release 104	225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA471592	SAMN09259743
GCF_000002195.4	Apis mellifera		DH4				NCBI eukaryotic genome annotation pipeline	250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA10625	SAMN00002455
GCF_000002195.4	Apis mellifera		DH4				NCBI eukaryotic genome annotation pipeline	250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA167910	SAMN00002455
GCF_000002195.4	Apis mellifera		DH4				NCBI eukaryotic genome annotation pipeline	250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA163991	SAMN00002455
GCF_000002195.4	Apis mellifera		DH4				NCBI eukaryotic genome annotation pipeline	250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA163993	SAMN00002455
GCF_000002195.4	Apis mellifera		DH4				NCBI eukaryotic genome annotation pipeline	250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA533106	SAMN00002455
GCA_000002195.1	Apis mellifera		DH4					250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA10625	SAMN00002455
GCA_000002195.1	Apis mellifera		DH4					250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA167910	SAMN00002455
GCA_000002195.1	Apis mellifera		DH4					250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA163991	SAMN00002455
GCA_000002195.1	Apis mellifera		DH4					250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA163993	SAMN00002455
GCA_000002195.1	Apis mellifera		DH4					250270657	Chromosome	2011-01-14	AADG06	45688	997192	PRJNA533106	SAMN00002455
GCA_003254395.2	Apis mellifera		DH4					225234541	Chromosome	2018-09-10	QIUM02	5382476	13619445	PRJNA471592	SAMN09259743
GCA_013841245.2	Apis mellifera carnica				Jilin01		Annotation submitted by CHGC	226044179	Chromosome	2021-08-31	JACDQX01	2692667	13413033	PRJNA644991	SAMN15487569
GCA_013841205.1	Apis mellifera caucasica				Jilin02		Annotation submitted by CHGC	224766697	Contig	2020-07-28	JACDQY01	3303520		PRJNA645012	SAMN15487696
GCA_000819425.1	Apis mellifera intermissa		Blida - Haddad					243566977	Scaffold	2015-01-15	JSUV01	504	527	PRJNA230767	SAMN02437452
GCA_019321825.1	Apis mellifera ligustica	Zhejiang Royal Jelly bee						231148580	Chromosome	2021-07-22	JAHGQF01	4149667	13627676	PRJNA689474	SAMN19090750
GCA_003314205.2	Apis mellifera mellifera				ACANBOUESSANT			227075953	Chromosome	2022-04-12	QFDB02	5131172	13573435	PRJNA450801	SAMN08947224
GCA_024516045.1	Bombus affinis				iyBomAffi1			365246601	Chromosome	2022-08-05	JALLPS01	3123606	12331690	PRJNA827177	SAMN27604106
GCA_019201815.1	Bombus balteatus				NIW-01			250065621	Contig	2021-07-13	JAFJHM01	8601724		PRJNA704506	SAMN18043474
GCF_011952205.1	Bombus bifarius				JDL3187		NCBI Annotation Release 100	266784621	Scaffold	2020-04-03	JAAQOX01	2202782	2202782	PRJNA591177	SAMN13353518
GCA_011952205.1	Bombus bifarius				JDL3187			266784621	Scaffold	2020-04-03	JAAQOX01	2202782	2202782	PRJNA591177	SAMN13353518
GCA_014825925.1	Bombus breviceps				SC7748			248124274	Chromosome	2020-10-02	JACXIW01	1044356	14710816	PRJNA659133	SAMN15897748
GCA_905333015.2	Bombus campestris							275239257	Chromosome	2021-11-25	CAJOSK02	6166019	12249729	PRJEB43478	SAMEA7520482
GCA_905333015.2	Bombus campestris							275239257	Chromosome	2021-11-25	CAJOSK02	6166019	12249729	PRJEB43538	SAMEA7520482
GCA_905333015.2	Bombus campestris							275239257	Chromosome	2021-11-25	CAJOSK02	6166019	12249729	PRJEB40665	SAMEA7520482
GCA_905333015.2	Bombus campestris							275239257	Chromosome	2021-11-25	CAJOSK02	6166019	12249729	PRJNA533106	SAMEA7520482
GCA_905333015.2	Bombus campestris							275239257	Chromosome	2021-11-25	CAJOSK02	6166019	12249729	PRJEB43510	SAMEA7520482
GCA_905333015.2	Bombus campestris							275239257	Chromosome	2021-11-25	CAJOSK02	6166019	12249729	PRJNA533106	SAMEA7520482
GCA_014737475.1	Bombus confusus				SC7735			239101172	Scaffold	2020-09-25	JACXIV01	411713	3260211	PRJNA659133	SAMN15897735
GCA_014737455.1	Bombus consobrinus				SC7737			249068899	Scaffold	2020-09-25	JACXIU01	707207	4771016	PRJNA659133	SAMN15897737
GCA_014737535.1	Bombus cullumanus				SC7732			246986414	Scaffold	2020-09-25	JACXIX01	1128213	4580616	PRJNA659133	SAMN15897732
GCA_014737525.1	Bombus difficillimus				SC7740			243560081	Scaffold	2020-09-25	JACXIT01	338993	2080359	PRJNA659133	SAMN15897740
GCA_014825975.1	Bombus haemorrhoidalis				SC7734			240538686	Chromosome	2020-10-02	JACXIS01	874667	15088228	PRJNA659133	SAMN15897734
GCA_905332935.1	Bombus hortorum							296297395	Chromosome	2021-03-19	CAJOSO01	10578496	17016242	PRJEB43479	SAMEA7520483
GCA_905332935.1	Bombus hortorum							296297395	Chromosome	2021-03-19	CAJOSO01	10578496	17016242	PRJEB43539	SAMEA7520483
GCA_905332935.1	Bombus hortorum							296297395	Chromosome	2021-03-19	CAJOSO01	10578496	17016242	PRJEB40665	SAMEA7520483
GCA_905332935.1	Bombus hortorum							296297395	Chromosome	2021-03-19	CAJOSO01	10578496	17016242	PRJNA533106	SAMEA7520483
GCA_905332935.1	Bombus hortorum							296297395	Chromosome	2021-03-19	CAJOSO01	10578496	17016242	PRJEB43510	SAMEA7520483
GCA_905332935.1	Bombus hortorum							296297395	Chromosome	2021-03-19	CAJOSO01	10578496	17016242	PRJNA533106	SAMEA7520483
GCA_905333095.1	Bombus hortorum							14173259	Contig	2021-03-19	CAJOSH01	2882664		PRJEB43480	SAMEA7520483
GCA_905333095.1	Bombus hortorum							14173259	Contig	2021-03-19	CAJOSH01	2882664		PRJEB43539	SAMEA7520483
GCA_905333095.1	Bombus hortorum							14173259	Contig	2021-03-19	CAJOSH01	2882664		PRJEB40665	SAMEA7520483
GCA_905333095.1	Bombus hortorum							14173259	Contig	2021-03-19	CAJOSH01	2882664		PRJNA533106	SAMEA7520483
GCA_905333095.1	Bombus hortorum							14173259	Contig	2021-03-19	CAJOSH01	2882664		PRJEB43510	SAMEA7520483
GCA_905333095.1	Bombus hortorum							14173259	Contig	2021-03-19	CAJOSH01	2882664		PRJNA533106	SAMEA7520483
GCA_024542735.1	Bombus huntii				Logan2020A			317402180	Chromosome	2022-08-09	JANIEZ01	9270999	17546577	PRJNA858880	SAMN29759067
GCA_024542735.1	Bombus huntii				Logan2020A			317402180	Chromosome	2022-08-09	JANIEZ01	9270999	17546577	PRJNA555319	SAMN29759067
GCA_024542735.1	Bombus huntii				Logan2020A			317402180	Chromosome	2022-08-09	JANIEZ01	9270999	17546577	PRJNA533106	SAMN29759067
GCA_911387925.1	Bombus hypnorum							297334159	Chromosome	2021-07-21	CAJVQY01	11592071	24264022	PRJEB46442	SAMEA7520655
GCA_911387925.1	Bombus hypnorum							297334159	Chromosome	2021-07-21	CAJVQY01	11592071	24264022	PRJEB45123	SAMEA7520655
GCA_911387925.1	Bombus hypnorum							297334159	Chromosome	2021-07-21	CAJVQY01	11592071	24264022	PRJEB40665	SAMEA7520655
GCA_911387925.1	Bombus hypnorum							297334159	Chromosome	2021-07-21	CAJVQY01	11592071	24264022	PRJNA533106	SAMEA7520655
GCA_911387925.1	Bombus hypnorum							297334159	Chromosome	2021-07-21	CAJVQY01	11592071	24264022	PRJEB43510	SAMEA7520655
GCA_911387925.1	Bombus hypnorum							297334159	Chromosome	2021-07-21	CAJVQY01	11592071	24264022	PRJNA533106	SAMEA7520655
GCA_014825875.1	Bombus ignitus				SC7727			242565149	Chromosome	2020-10-02	JACXIR01	714304	15187013	PRJNA659133	SAMN15897727
GCF_000188095.3	Bombus impatiens				North American commercial source		NCBI Annotation Release 103	246856484	Scaffold	2011-09-22	AEQM02	59072	1399493	PRJNA61101	SAMN02953787
GCA_000188095.4	Bombus impatiens				North American commercial source			246856484	Scaffold	2011-09-22	AEQM02	59072	1399493	PRJNA61101	SAMN02953787
GCA_014737405.1	Bombus opulentus				SC7738			242353651	Scaffold	2020-09-24	JACXIQ01	731585	2423045	PRJNA659133	SAMN15897738
GCA_905332965.1	Bombus pascuorum							307548333	Chromosome	2021-03-19	CAJOSQ01	8974029	17556731	PRJEB43481	SAMEA7520484
GCA_905332965.1	Bombus pascuorum							307548333	Chromosome	2021-03-19	CAJOSQ01	8974029	17556731	PRJEB43540	SAMEA7520484
GCA_905332965.1	Bombus pascuorum							307548333	Chromosome	2021-03-19	CAJOSQ01	8974029	17556731	PRJEB40665	SAMEA7520484
GCA_905332965.1	Bombus pascuorum							307548333	Chromosome	2021-03-19	CAJOSQ01	8974029	17556731	PRJNA533106	SAMEA7520484
GCA_905332965.1	Bombus pascuorum							307548333	Chromosome	2021-03-19	CAJOSQ01	8974029	17556731	PRJEB43510	SAMEA7520484
GCA_905332965.1	Bombus pascuorum							307548333	Chromosome	2021-03-19	CAJOSQ01	8974029	17556731	PRJNA533106	SAMEA7520484
GCA_905332995.1	Bombus pascuorum							276214278	Scaffold	2021-03-20	CAJOSS01	1917109	1953797	PRJEB43482	SAMEA7520484
GCA_905332995.1	Bombus pascuorum							276214278	Scaffold	2021-03-20	CAJOSS01	1917109	1953797	PRJEB43540	SAMEA7520484
GCA_905332995.1	Bombus pascuorum							276214278	Scaffold	2021-03-20	CAJOSS01	1917109	1953797	PRJEB40665	SAMEA7520484
GCA_905332995.1	Bombus pascuorum							276214278	Scaffold	2021-03-20	CAJOSS01	1917109	1953797	PRJNA533106	SAMEA7520484
GCA_905332995.1	Bombus pascuorum							276214278	Scaffold	2021-03-20	CAJOSS01	1917109	1953797	PRJEB43510	SAMEA7520484
GCA_905332995.1	Bombus pascuorum							276214278	Scaffold	2021-03-20	CAJOSS01	1917109	1953797	PRJNA533106	SAMEA7520484
GCA_014737485.1	Bombus picipes				SC7726			253987937	Scaffold	2020-09-25	JACXIP01	377516	5875415	PRJNA659133	SAMN15897726
GCA_014737335.1	Bombus polaris				SC7733			245790074	Scaffold	2020-09-24	JACXIO01	427351	2253597	PRJNA659133	SAMN15897733
GCA_930367275.1	Bombus pratorum							285050844	Chromosome	2022-02-13	CAKNEW01	8533403	16494161	PRJEB50848	SAMEA7520485
GCA_930367275.1	Bombus pratorum							285050844	Chromosome	2022-02-13	CAKNEW01	8533403	16494161	PRJEB48116	SAMEA7520485
GCA_930367275.1	Bombus pratorum							285050844	Chromosome	2022-02-13	CAKNEW01	8533403	16494161	PRJEB40665	SAMEA7520485
GCA_930367275.1	Bombus pratorum							285050844	Chromosome	2022-02-13	CAKNEW01	8533403	16494161	PRJNA533106	SAMEA7520485
GCA_930367275.1	Bombus pratorum							285050844	Chromosome	2022-02-13	CAKNEW01	8533403	16494161	PRJEB43510	SAMEA7520485
GCA_930367275.1	Bombus pratorum							285050844	Chromosome	2022-02-13	CAKNEW01	8533403	16494161	PRJNA533106	SAMEA7520485
GCA_930367225.1	Bombus pratorum							260647694	Contig	2022-02-13	CAKNFC01	1141273		PRJEB50847	SAMEA7520485
GCA_930367225.1	Bombus pratorum							260647694	Contig	2022-02-13	CAKNFC01	1141273		PRJEB48116	SAMEA7520485
GCA_930367225.1	Bombus pratorum							260647694	Contig	2022-02-13	CAKNFC01	1141273		PRJEB40665	SAMEA7520485
GCA_930367225.1	Bombus pratorum							260647694	Contig	2022-02-13	CAKNFC01	1141273		PRJNA533106	SAMEA7520485
GCA_930367225.1	Bombus pratorum							260647694	Contig	2022-02-13	CAKNFC01	1141273		PRJEB43510	SAMEA7520485
GCA_930367225.1	Bombus pratorum							260647694	Contig	2022-02-13	CAKNFC01	1141273		PRJNA533106	SAMEA7520485
GCF_014825855.1	Bombus pyrosoma				SC7728		NCBI Annotation Release 100	254804690	Chromosome	2020-10-02	JACXIN01	781044	15222711	PRJNA659133	SAMN15897728
GCA_014825855.1	Bombus pyrosoma				SC7728			254804690	Chromosome	2020-10-02	JACXIN01	781044	15222711	PRJNA659133	SAMN15897728
GCA_014737505.1	Bombus sibiricus				SC7736			262420024	Scaffold	2020-09-25	JACXIM01	561947	3138169	PRJNA659133	SAMN15897736
GCA_014737355.1	Bombus skorikovi				SC7739			242038170	Scaffold	2020-09-24	JACXIH01	488970	4338594	PRJNA659133	SAMN15897739
GCA_014737365.1	Bombus soroeensis				SC7731			243573539	Scaffold	2020-09-24	JACXIL01	582038	2119699	PRJNA659133	SAMN15897731
GCA_014737385.1	Bombus superbus				SC7730			230139620	Scaffold	2020-09-24	JACXIK01	988972	6899074	PRJNA659133	SAMN15897730
GCA_911622165.1	Bombus sylvestris							302565711	Chromosome	2021-08-04	CAJVRE01	5862009	12445291	PRJEB46443	SAMEA7520657
GCA_911622165.1	Bombus sylvestris							302565711	Chromosome	2021-08-04	CAJVRE01	5862009	12445291	PRJEB45124	SAMEA7520657
GCA_911622165.1	Bombus sylvestris							302565711	Chromosome	2021-08-04	CAJVRE01	5862009	12445291	PRJEB40665	SAMEA7520657
GCA_911622165.1	Bombus sylvestris							302565711	Chromosome	2021-08-04	CAJVRE01	5862009	12445291	PRJNA533106	SAMEA7520657
GCA_911622165.1	Bombus sylvestris							302565711	Chromosome	2021-08-04	CAJVRE01	5862009	12445291	PRJEB43510	SAMEA7520657
GCA_911622165.1	Bombus sylvestris							302565711	Chromosome	2021-08-04	CAJVRE01	5862009	12445291	PRJNA533106	SAMEA7520657
GCA_019677175.1	Bombus sylvicola				GS6_Niwot			252081862	Contig	2021-08-18	JACSOB01	3020754		PRJNA646847	SAMN15905284
GCF_910591885.1	Bombus terrestris						NCBI Annotation Release 103	392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB45694	SAMEA7520487
GCF_910591885.1	Bombus terrestris						NCBI Annotation Release 103	392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB45205	SAMEA7520487
GCF_910591885.1	Bombus terrestris						NCBI Annotation Release 103	392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB40665	SAMEA7520487
GCF_910591885.1	Bombus terrestris						NCBI Annotation Release 103	392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJNA533106	SAMEA7520487
GCF_910591885.1	Bombus terrestris						NCBI Annotation Release 103	392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB43510	SAMEA7520487
GCF_910591885.1	Bombus terrestris						NCBI Annotation Release 103	392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJNA533106	SAMEA7520487
GCF_000214255.1	Bombus terrestris						NCBI Annotation Release 102	248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA45869	SAMN00009041
GCF_000214255.1	Bombus terrestris						NCBI Annotation Release 102	248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA163991	SAMN00009041
GCF_000214255.1	Bombus terrestris						NCBI Annotation Release 102	248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA163993	SAMN00009041
GCF_000214255.1	Bombus terrestris						NCBI Annotation Release 102	248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA533106	SAMN00009041
GCA_000214255.1	Bombus terrestris							248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA45869	SAMN00009041
GCA_000214255.1	Bombus terrestris							248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA163991	SAMN00009041
GCA_000214255.1	Bombus terrestris							248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA163993	SAMN00009041
GCA_000214255.1	Bombus terrestris							248654244	Chromosome	2011-06-03	AELG01	76043	3506793	PRJNA533106	SAMN00009041
GCA_910591885.2	Bombus terrestris							392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB45694	SAMEA7520487
GCA_910591885.2	Bombus terrestris							392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB45205	SAMEA7520487
GCA_910591885.2	Bombus terrestris							392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB40665	SAMEA7520487
GCA_910591885.2	Bombus terrestris							392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJNA533106	SAMEA7520487
GCA_910591885.2	Bombus terrestris							392962041	Chromosome	2022-02-09	CAJUYY02	6780370	14593050	PRJEB43510	SAMEA7520487
